teacher_id,group_id,LoadDateTimeStamp,RecordSource
119,26,2019-12-09 13:40:32,kaggle
120,27,2019-12-09 13:40:32,kaggle
121,27,2019-12-09 13:40:32,kaggle
122,27,2019-12-09 13:40:32,kaggle
123,27,2019-12-09 13:40:32,kaggle
124,27,2019-12-09 13:40:32,kaggle
125,28,2019-12-09 13:40:32,kaggle
126,28,2019-12-09 13:40:32,kaggle
127,28,2019-12-09 13:40:32,kaggle
128,28,2019-12-09 13:40:32,kaggle
129,29,2019-12-09 13:40:32,kaggle
130,29,2019-12-09 13:40:32,kaggle
131,29,2019-12-09 13:40:32,kaggle
132,29,2019-12-09 13:40:32,kaggle
133,29,2019-12-09 13:40:32,kaggle
134,30,2019-12-09 13:40:32,kaggle
135,30,2019-12-09 13:40:32,kaggle
136,30,2019-12-09 13:40:32,kaggle
137,30,2019-12-09 13:40:32,kaggle
138,30,2019-12-09 13:40:32,kaggle
139,30,2019-12-09 13:40:32,kaggle
140,31,2019-12-09 13:40:32,kaggle
141,31,2019-12-09 13:40:32,kaggle
142,32,2019-12-09 13:40:32,kaggle
143,32,2019-12-09 13:40:32,kaggle
144,32,2019-12-09 13:40:32,kaggle
145,32,2019-12-09 13:40:32,kaggle
146,32,2019-12-09 13:40:32,kaggle
147,33,2019-12-09 13:40:32,kaggle
148,33,2019-12-09 13:40:32,kaggle
149,33,2019-12-09 13:40:32,kaggle
150,33,2019-12-09 13:40:32,kaggle
151,33,2019-12-09 13:40:32,kaggle
152,33,2019-12-09 13:40:32,kaggle
153,33,2019-12-09 13:40:32,kaggle
154,33,2019-12-09 13:40:32,kaggle
155,34,2019-12-09 13:40:32,kaggle
156,34,2019-12-09 13:40:32,kaggle
157,34,2019-12-09 13:40:32,kaggle
158,35,2019-12-09 13:40:32,kaggle
159,35,2019-12-09 13:40:32,kaggle
160,36,2019-12-09 13:40:32,kaggle
161,36,2019-12-09 13:40:32,kaggle
162,36,2019-12-09 13:40:32,kaggle
163,36,2019-12-09 13:40:32,kaggle
164,36,2019-12-09 13:40:32,kaggle
165,36,2019-12-09 13:40:32,kaggle
166,36,2019-12-09 13:40:32,kaggle
167,36,2019-12-09 13:40:32,kaggle
168,36,2019-12-09 13:40:32,kaggle
169,36,2019-12-09 13:40:32,kaggle
170,37,2019-12-09 13:40:32,kaggle
171,37,2019-12-09 13:40:32,kaggle
172,37,2019-12-09 13:40:32,kaggle
173,37,2019-12-09 13:40:32,kaggle
174,37,2019-12-09 13:40:32,kaggle
175,38,2019-12-09 13:40:32,kaggle
176,38,2019-12-09 13:40:32,kaggle
177,38,2019-12-09 13:40:32,kaggle
178,38,2019-12-09 13:40:32,kaggle
179,38,2019-12-09 13:40:32,kaggle
180,38,2019-12-09 13:40:32,kaggle
181,39,2019-12-09 13:40:32,kaggle
182,39,2019-12-09 13:40:32,kaggle
183,39,2019-12-09 13:40:32,kaggle
184,39,2019-12-09 13:40:32,kaggle
185,39,2019-12-09 13:40:32,kaggle
186,40,2019-12-09 13:40:32,kaggle
187,40,2019-12-09 13:40:32,kaggle
188,40,2019-12-09 13:40:32,kaggle
189,40,2019-12-09 13:40:32,kaggle
190,40,2019-12-09 13:40:32,kaggle
191,40,2019-12-09 13:40:32,kaggle
192,40,2019-12-09 13:40:32,kaggle
193,41,2019-12-09 13:40:32,kaggle
194,41,2019-12-09 13:40:32,kaggle
195,41,2019-12-09 13:40:32,kaggle
196,41,2019-12-09 13:40:32,kaggle
197,41,2019-12-09 13:40:32,kaggle
198,41,2019-12-09 13:40:32,kaggle
199,42,2019-12-09 13:40:32,kaggle
200,42,2019-12-09 13:40:32,kaggle
201,42,2019-12-09 13:40:32,kaggle
202,42,2019-12-09 13:40:32,kaggle
203,43,2019-12-09 13:40:32,kaggle
204,43,2019-12-09 13:40:32,kaggle
205,43,2019-12-09 13:40:32,kaggle
206,43,2019-12-09 13:40:32,kaggle
207,43,2019-12-09 13:40:32,kaggle
208,43,2019-12-09 13:40:32,kaggle
209,43,2019-12-09 13:40:32,kaggle
210,44,2019-12-09 13:40:32,kaggle
211,45,2019-12-09 13:40:32,kaggle
212,45,2019-12-09 13:40:32,kaggle
213,45,2019-12-09 13:40:32,kaggle
214,45,2019-12-09 13:40:32,kaggle
215,46,2019-12-09 13:40:32,kaggle
216,46,2019-12-09 13:40:32,kaggle
217,46,2019-12-09 13:40:32,kaggle
218,46,2019-12-09 13:40:32,kaggle
219,46,2019-12-09 13:40:32,kaggle
220,46,2019-12-09 13:40:32,kaggle
221,46,2019-12-09 13:40:32,kaggle
222,47,2019-12-09 13:40:32,kaggle
223,47,2019-12-09 13:40:32,kaggle
224,47,2019-12-09 13:40:32,kaggle
225,47,2019-12-09 13:40:32,kaggle
226,47,2019-12-09 13:40:32,kaggle
227,47,2019-12-09 13:40:32,kaggle
228,47,2019-12-09 13:40:32,kaggle
229,47,2019-12-09 13:40:32,kaggle
230,47,2019-12-09 13:40:32,kaggle
231,47,2019-12-09 13:40:32,kaggle
232,48,2019-12-09 13:40:32,kaggle
233,48,2019-12-09 13:40:32,kaggle
234,49,2019-12-09 13:40:32,kaggle
235,49,2019-12-09 13:40:32,kaggle
236,50,2019-12-09 13:40:32,kaggle
237,50,2019-12-09 13:40:32,kaggle
238,50,2019-12-09 13:40:32,kaggle
239,50,2019-12-09 13:40:32,kaggle
240,50,2019-12-09 13:40:32,kaggle
241,50,2019-12-09 13:40:32,kaggle
242,51,2019-12-09 13:40:32,kaggle
243,51,2019-12-09 13:40:32,kaggle
244,51,2019-12-09 13:40:32,kaggle
245,51,2019-12-09 13:40:32,kaggle
246,51,2019-12-09 13:40:32,kaggle
247,51,2019-12-09 13:40:32,kaggle
248,52,2019-12-09 13:40:32,kaggle
249,52,2019-12-09 13:40:32,kaggle
250,52,2019-12-09 13:40:32,kaggle
251,52,2019-12-09 13:40:32,kaggle
252,53,2019-12-09 13:40:32,kaggle
253,53,2019-12-09 13:40:32,kaggle
254,53,2019-12-09 13:40:32,kaggle
255,53,2019-12-09 13:40:32,kaggle
256,53,2019-12-09 13:40:32,kaggle
257,53,2019-12-09 13:40:32,kaggle
258,53,2019-12-09 13:40:32,kaggle
259,54,2019-12-09 13:40:32,kaggle
260,54,2019-12-09 13:40:32,kaggle
261,54,2019-12-09 13:40:32,kaggle
262,54,2019-12-09 13:40:32,kaggle
263,55,2019-12-09 13:40:32,kaggle
264,55,2019-12-09 13:40:32,kaggle
265,55,2019-12-09 13:40:32,kaggle
266,55,2019-12-09 13:40:32,kaggle
267,56,2019-12-09 13:40:32,kaggle
268,56,2019-12-09 13:40:32,kaggle
269,56,2019-12-09 13:40:32,kaggle
270,57,2019-12-09 13:40:32,kaggle
271,57,2019-12-09 13:40:32,kaggle
272,57,2019-12-09 13:40:32,kaggle
273,57,2019-12-09 13:40:32,kaggle
274,57,2019-12-09 13:40:32,kaggle
275,57,2019-12-09 13:40:32,kaggle
276,58,2019-12-09 13:40:32,kaggle
277,58,2019-12-09 13:40:32,kaggle
278,58,2019-12-09 13:40:32,kaggle
279,58,2019-12-09 13:40:32,kaggle
280,58,2019-12-09 13:40:32,kaggle
281,58,2019-12-09 13:40:32,kaggle
282,59,2019-12-09 13:40:32,kaggle
283,59,2019-12-09 13:40:32,kaggle
284,59,2019-12-09 13:40:32,kaggle
285,59,2019-12-09 13:40:32,kaggle
286,59,2019-12-09 13:40:32,kaggle
287,59,2019-12-09 13:40:32,kaggle
288,59,2019-12-09 13:40:32,kaggle
289,60,2019-12-09 13:40:32,kaggle
290,60,2019-12-09 13:40:32,kaggle
291,60,2019-12-09 13:40:32,kaggle
292,60,2019-12-09 13:40:32,kaggle
293,60,2019-12-09 13:40:32,kaggle
294,60,2019-12-09 13:40:32,kaggle
295,60,2019-12-09 13:40:32,kaggle
296,60,2019-12-09 13:40:32,kaggle
297,60,2019-12-09 13:40:32,kaggle
298,61,2019-12-09 13:40:32,kaggle
299,61,2019-12-09 13:40:32,kaggle
300,61,2019-12-09 13:40:32,kaggle
301,61,2019-12-09 13:40:32,kaggle
302,62,2019-12-09 13:40:32,kaggle
303,63,2019-12-09 13:40:32,kaggle
304,63,2019-12-09 13:40:32,kaggle
305,63,2019-12-09 13:40:32,kaggle
306,63,2019-12-09 13:40:32,kaggle
307,63,2019-12-09 13:40:32,kaggle
308,63,2019-12-09 13:40:32,kaggle
309,63,2019-12-09 13:40:32,kaggle
310,64,2019-12-09 13:40:32,kaggle
311,65,2019-12-09 13:40:32,kaggle
312,65,2019-12-09 13:40:32,kaggle
313,65,2019-12-09 13:40:32,kaggle
314,65,2019-12-09 13:40:32,kaggle
315,65,2019-12-09 13:40:32,kaggle
316,65,2019-12-09 13:40:32,kaggle
317,65,2019-12-09 13:40:32,kaggle
318,65,2019-12-09 13:40:32,kaggle
319,66,2019-12-09 13:40:32,kaggle
320,66,2019-12-09 13:40:32,kaggle
321,66,2019-12-09 13:40:32,kaggle
322,66,2019-12-09 13:40:32,kaggle
323,66,2019-12-09 13:40:32,kaggle
324,66,2019-12-09 13:40:32,kaggle
325,66,2019-12-09 13:40:32,kaggle
326,67,2019-12-09 13:40:32,kaggle
327,67,2019-12-09 13:40:32,kaggle
328,67,2019-12-09 13:40:32,kaggle
329,67,2019-12-09 13:40:32,kaggle
330,67,2019-12-09 13:40:32,kaggle
331,67,2019-12-09 13:40:32,kaggle
332,67,2019-12-09 13:40:32,kaggle
333,67,2019-12-09 13:40:32,kaggle
334,68,2019-12-09 13:40:32,kaggle
335,68,2019-12-09 13:40:32,kaggle
336,68,2019-12-09 13:40:32,kaggle
337,68,2019-12-09 13:40:32,kaggle
338,68,2019-12-09 13:40:32,kaggle
339,68,2019-12-09 13:40:32,kaggle
340,68,2019-12-09 13:40:32,kaggle
341,69,2019-12-09 13:40:32,kaggle
342,69,2019-12-09 13:40:32,kaggle
343,69,2019-12-09 13:40:32,kaggle
344,69,2019-12-09 13:40:32,kaggle
345,69,2019-12-09 13:40:32,kaggle
346,69,2019-12-09 13:40:32,kaggle
347,70,2019-12-09 13:40:32,kaggle
348,70,2019-12-09 13:40:32,kaggle
349,70,2019-12-09 13:40:32,kaggle
350,70,2019-12-09 13:40:32,kaggle
351,70,2019-12-09 13:40:32,kaggle
352,71,2019-12-09 13:40:32,kaggle
353,71,2019-12-09 13:40:32,kaggle
354,71,2019-12-09 13:40:32,kaggle
355,71,2019-12-09 13:40:32,kaggle
356,72,2019-12-09 13:40:32,kaggle
357,73,2019-12-09 13:40:32,kaggle
358,73,2019-12-09 13:40:32,kaggle
359,73,2019-12-09 13:40:32,kaggle
360,73,2019-12-09 13:40:32,kaggle
361,73,2019-12-09 13:40:32,kaggle
362,74,2019-12-09 13:40:32,kaggle
363,74,2019-12-09 13:40:32,kaggle
364,74,2019-12-09 13:40:32,kaggle
365,74,2019-12-09 13:40:32,kaggle
366,74,2019-12-09 13:40:32,kaggle
367,75,2019-12-09 13:40:32,kaggle
368,75,2019-12-09 13:40:32,kaggle
369,75,2019-12-09 13:40:32,kaggle
370,75,2019-12-09 13:40:32,kaggle
371,76,2019-12-09 13:40:32,kaggle
372,76,2019-12-09 13:40:32,kaggle
373,76,2019-12-09 13:40:32,kaggle
374,76,2019-12-09 13:40:32,kaggle
375,77,2019-12-09 13:40:32,kaggle
376,77,2019-12-09 13:40:32,kaggle
377,77,2019-12-09 13:40:32,kaggle
378,77,2019-12-09 13:40:32,kaggle
379,77,2019-12-09 13:40:32,kaggle
380,78,2019-12-09 13:40:32,kaggle
381,78,2019-12-09 13:40:32,kaggle
382,78,2019-12-09 13:40:32,kaggle
383,78,2019-12-09 13:40:32,kaggle
384,78,2019-12-09 13:40:32,kaggle
385,78,2019-12-09 13:40:32,kaggle
386,78,2019-12-09 13:40:32,kaggle
387,78,2019-12-09 13:40:32,kaggle
388,78,2019-12-09 13:40:32,kaggle
389,78,2019-12-09 13:40:32,kaggle
390,78,2019-12-09 13:40:32,kaggle
391,79,2019-12-09 13:40:32,kaggle
392,80,2019-12-09 13:40:32,kaggle
393,80,2019-12-09 13:40:32,kaggle
394,80,2019-12-09 13:40:32,kaggle
395,81,2019-12-09 13:40:32,kaggle
396,81,2019-12-09 13:40:32,kaggle
397,82,2019-12-09 13:40:32,kaggle
398,82,2019-12-09 13:40:32,kaggle
399,82,2019-12-09 13:40:32,kaggle
400,83,2019-12-09 13:40:32,kaggle
401,83,2019-12-09 13:40:32,kaggle
402,83,2019-12-09 13:40:32,kaggle
403,83,2019-12-09 13:40:32,kaggle
404,83,2019-12-09 13:40:32,kaggle
405,83,2019-12-09 13:40:32,kaggle
406,84,2019-12-09 13:40:32,kaggle
407,84,2019-12-09 13:40:32,kaggle
408,84,2019-12-09 13:40:32,kaggle
409,84,2019-12-09 13:40:32,kaggle
410,85,2019-12-09 13:40:32,kaggle
411,85,2019-12-09 13:40:32,kaggle
412,85,2019-12-09 13:40:32,kaggle
413,85,2019-12-09 13:40:32,kaggle
414,85,2019-12-09 13:40:32,kaggle
415,85,2019-12-09 13:40:32,kaggle
416,85,2019-12-09 13:40:32,kaggle
417,85,2019-12-09 13:40:32,kaggle
418,86,2019-12-09 13:40:32,kaggle
419,86,2019-12-09 13:40:32,kaggle
420,86,2019-12-09 13:40:32,kaggle
421,86,2019-12-09 13:40:32,kaggle
422,86,2019-12-09 13:40:32,kaggle
423,87,2019-12-09 13:40:32,kaggle
424,87,2019-12-09 13:40:32,kaggle
425,87,2019-12-09 13:40:32,kaggle
426,88,2019-12-09 13:40:32,kaggle
427,88,2019-12-09 13:40:32,kaggle
428,88,2019-12-09 13:40:32,kaggle
429,88,2019-12-09 13:40:32,kaggle
430,88,2019-12-09 13:40:32,kaggle
431,88,2019-12-09 13:40:32,kaggle
432,89,2019-12-09 13:40:32,kaggle
433,89,2019-12-09 13:40:32,kaggle
434,89,2019-12-09 13:40:32,kaggle
435,90,2019-12-09 13:40:32,kaggle
436,90,2019-12-09 13:40:32,kaggle
437,90,2019-12-09 13:40:32,kaggle
438,90,2019-12-09 13:40:32,kaggle
439,90,2019-12-09 13:40:32,kaggle
440,90,2019-12-09 13:40:32,kaggle
441,90,2019-12-09 13:40:32,kaggle
442,91,2019-12-09 13:40:32,kaggle
443,91,2019-12-09 13:40:32,kaggle
444,91,2019-12-09 13:40:32,kaggle
445,91,2019-12-09 13:40:32,kaggle
446,91,2019-12-09 13:40:32,kaggle
447,92,2019-12-09 13:40:32,kaggle
448,92,2019-12-09 13:40:32,kaggle
449,92,2019-12-09 13:40:32,kaggle
450,93,2019-12-09 13:40:32,kaggle
451,93,2019-12-09 13:40:32,kaggle
452,93,2019-12-09 13:40:32,kaggle
453,93,2019-12-09 13:40:32,kaggle
454,93,2019-12-09 13:40:32,kaggle
455,94,2019-12-09 13:40:32,kaggle
456,94,2019-12-09 13:40:32,kaggle
457,94,2019-12-09 13:40:32,kaggle
458,95,2019-12-09 13:40:32,kaggle
459,95,2019-12-09 13:40:32,kaggle
460,95,2019-12-09 13:40:32,kaggle
461,95,2019-12-09 13:40:32,kaggle
462,95,2019-12-09 13:40:32,kaggle
463,95,2019-12-09 13:40:32,kaggle
464,96,2019-12-09 13:40:32,kaggle
465,96,2019-12-09 13:40:32,kaggle
466,96,2019-12-09 13:40:32,kaggle
467,96,2019-12-09 13:40:32,kaggle
468,96,2019-12-09 13:40:32,kaggle
469,97,2019-12-09 13:40:32,kaggle
470,97,2019-12-09 13:40:32,kaggle
471,97,2019-12-09 13:40:32,kaggle
472,97,2019-12-09 13:40:32,kaggle
473,97,2019-12-09 13:40:32,kaggle
474,97,2019-12-09 13:40:32,kaggle
475,97,2019-12-09 13:40:32,kaggle
476,98,2019-12-09 13:40:32,kaggle
477,98,2019-12-09 13:40:32,kaggle
478,98,2019-12-09 13:40:32,kaggle
479,98,2019-12-09 13:40:32,kaggle
480,98,2019-12-09 13:40:32,kaggle
481,98,2019-12-09 13:40:32,kaggle
482,99,2019-12-09 13:40:32,kaggle
483,99,2019-12-09 13:40:32,kaggle
484,100,2019-12-09 13:40:32,kaggle
485,100,2019-12-09 13:40:32,kaggle
486,100,2019-12-09 13:40:32,kaggle
487,100,2019-12-09 13:40:32,kaggle
488,100,2019-12-09 13:40:32,kaggle
489,100,2019-12-09 13:40:32,kaggle
490,100,2019-12-09 13:40:32,kaggle
491,100,2019-12-09 13:40:32,kaggle
492,100,2019-12-09 13:40:32,kaggle
493,100,2019-12-09 13:40:32,kaggle
